tracking_id,entry_time,exit_time,total_duration_sec,category_showroom,zoneA_duration_sec,zoneB_duration_sec,zoneC_duration_sec
s2_19,2026-03-13 14:17:09,2026-03-13 14:17:22,12.28,bounce_off,3.46,0.0,0.0
s2_21,2026-03-13 14:17:11,2026-03-13 14:17:22,10.87,bounce_off,0.56,0.0,0.0
s2_24,2026-03-13 14:17:15,2026-03-13 14:17:22,6.77,bounce_off,1.63,0.0,0.0
s2_25,2026-03-13 14:17:16,2026-03-13 14:17:23,7.06,bounce_off,0.0,0.0,0.0
s2_32,2026-03-13 14:17:24,2026-03-13 14:17:29,4.97,bounce_off,0.96,0.0,0.0
s2_34,2026-03-13 14:17:27,2026-03-13 14:17:35,8.26,bounce_off,1.4,0.0,0.0
s2_28,2026-03-13 14:17:20,2026-03-13 14:17:35,15.63,bounce_off,3.97,0.0,0.0
s2_31,2026-03-13 14:17:38,2026-03-13 14:17:42,3.43,bounce_off,0.0,0.0,0.0
s2_38,2026-03-13 14:17:40,2026-03-13 14:17:44,3.53,bounce_off,0.0,0.0,0.0
s2_39,2026-03-13 14:17:41,2026-03-13 14:17:44,2.57,bounce_off,0.0,0.0,0.0
s2_40,2026-03-13 14:17:42,2026-03-13 14:17:53,10.75,bounce_off,3.54,0.0,0.0
s2_44,2026-03-13 14:18:15,2026-03-13 14:18:20,5.28,bounce_off,1.58,0.0,0.0
s2_47,2026-03-13 14:18:20,2026-03-13 14:18:27,7.1,bounce_off,3.86,0.0,0.0
s2_45,2026-03-13 14:18:17,2026-03-13 14:18:34,17.14,bounce_off,11.3,0.0,0.0
s2_51,2026-03-13 14:18:47,2026-03-13 14:18:52,4.73,bounce_off,2.65,0.0,0.0
s2_55,2026-03-13 14:19:38,2026-03-13 14:19:48,9.56,bounce_off,1.68,0.0,0.0
s2_58,2026-03-13 14:19:47,2026-03-13 14:19:53,6.53,bounce_off,0.0,0.0,0.0
s2_61,2026-03-13 14:20:23,2026-03-13 14:20:32,8.16,bounce_off,2.55,0.0,0.0
s4_7,2026-03-13 15:28:31,2026-03-13 15:28:34,2.58,bounce_off,0.0,3.08,0.0
s4_9,2026-03-13 15:28:32,2026-03-13 15:28:38,6.5,bounce_off,0.0,4.34,2.99
s4_11,2026-03-13 15:28:34,2026-03-13 15:28:40,6.57,bounce_off,0.0,3.47,0.0
s4_19,2026-03-13 15:28:43,2026-03-13 15:28:47,3.65,bounce_off,0.0,0.0,0.0
s4_15,2026-03-13 15:28:39,2026-03-13 15:28:47,7.96,bounce_off,0.0,4.06,0.0
s4_18,2026-03-13 15:28:41,2026-03-13 15:28:47,6.55,bounce_off,0.0,4.7,0.0
s4_26,2026-03-13 15:28:48,2026-03-13 15:28:50,2.56,bounce_off,0.0,1.4,0.0
s4_20,2026-03-13 15:28:44,2026-03-13 15:28:51,7.03,bounce_off,0.0,1.35,0.0
s4_22,2026-03-13 15:28:45,2026-03-13 15:28:52,6.25,bounce_off,0.0,0.0,0.57
s4_24,2026-03-13 15:28:46,2026-03-13 15:28:53,6.98,bounce_off,0.0,0.0,0.65
s4_31,2026-03-13 15:28:52,2026-03-13 15:28:59,7.18,bounce_off,0.0,0.0,0.0
s4_33,2026-03-13 15:28:54,2026-03-13 15:29:01,6.89,bounce_off,0.0,7.36,1.37
s4_32,2026-03-13 15:28:53,2026-03-13 15:29:04,11.51,bounce_off,0.0,0.0,0.0
s4_38,2026-03-13 15:29:10,2026-03-13 15:29:12,2.0,bounce_off,0.0,0.0,0.0
